,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,Team,id
0,Joe Hart,eng ENG,GK,36-348,30,30,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Celtic,1
1,Matt O'Riley,dk DEN,MF,23-132,30,30,2637.0,29.3,12.0,0.41,11.0,0.38,23.0,0.78,12.0,0.41,0.0,0.0,2.0,0.0,Celtic,2
2,Liam Scales,ie IRL,DF,25-237,28,28,2520.0,28.0,1.0,0.04,2.0,0.07,3.0,0.11,1.0,0.04,0.0,0.0,5.0,0.0,Celtic,3
3,Callum McGregor,sct SCO,MF,30-292,28,28,2437.0,27.1,2.0,0.07,5.0,0.18,7.0,0.26,2.0,0.07,0.0,0.0,4.0,0.0,Celtic,4
4,Greg Taylor,sct SCO,DF,26-148,28,28,2359.0,26.2,3.0,0.11,4.0,0.15,7.0,0.27,3.0,0.11,0.0,0.0,4.0,0.0,Celtic,5
5,Alistair Johnston,ca CAN,DF,25-176,26,26,2091.0,23.2,1.0,0.04,2.0,0.09,3.0,0.13,1.0,0.04,0.0,0.0,4.0,0.0,Celtic,6
6,Kyogo Furuhashi,jp JPN,FW,29-072,31,25,2047.0,22.7,10.0,0.44,4.0,0.18,14.0,0.62,10.0,0.44,0.0,0.0,2.0,0.0,Celtic,7
7,Daizen Maeda,jp JPN,FW,26-164,24,22,1789.0,19.9,4.0,0.2,2.0,0.1,6.0,0.3,4.0,0.2,0.0,0.0,2.0,0.0,Celtic,8
8,Cameron Carter-Vickers,us USA,DF,26-092,19,18,1431.0,15.9,1.0,0.06,1.0,0.06,2.0,0.13,1.0,0.06,0.0,0.0,0.0,0.0,Celtic,9
9,Luis Enrique Palma,hn HON,FW,24-075,23,17,1318.0,14.6,6.0,0.41,9.0,0.61,15.0,1.02,4.0,0.27,2.0,4.0,2.0,0.0,Celtic,10
10,Paulo Bernardo,pt POR,MF,22-068,17,11,848.0,9.4,3.0,0.32,2.0,0.21,5.0,0.53,3.0,0.32,0.0,0.0,2.0,0.0,Celtic,11
11,Yang Hyunjun,kr KOR,FW,21-312,22,9,862.0,9.6,1.0,0.1,3.0,0.31,4.0,0.42,1.0,0.1,0.0,0.0,1.0,1.0,Celtic,12
12,David Turnbull,sct SCO,MF,24-266,16,9,674.0,7.5,7.0,0.93,0.0,0.0,7.0,0.93,4.0,0.53,3.0,4.0,2.0,0.0,Celtic,13
13,Tomoki Iwata,jp JPN,MF,26-360,12,7,670.0,7.4,1.0,0.13,1.0,0.13,2.0,0.27,1.0,0.13,0.0,0.0,1.0,0.0,Celtic,14
14,Anthony Ralston,sct SCO,DF,25-137,13,5,796.0,8.8,0.0,0.0,1.0,0.11,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,15
15,Maik Nawrocki,pl POL,DF,23-054,8,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Celtic,16
16,Reo Hatate,jp JPN,MF,26-132,9,5,453.0,5.0,2.0,0.4,2.0,0.4,4.0,0.79,1.0,0.2,1.0,2.0,0.0,0.0,Celtic,17
17,Liel Abada,il ISR,FW,22-181,9,5,438.0,4.9,1.0,0.21,1.0,0.21,2.0,0.41,1.0,0.21,0.0,0.0,0.0,0.0,Celtic,18
18,Adam Idah,ie IRL,FW,23-050,8,4,418.0,4.6,5.0,1.08,2.0,0.43,7.0,1.51,3.0,0.65,2.0,3.0,1.0,0.0,Celtic,19
19,Gustaf Lagerbielke,se SWE,DF,23-357,7,4,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,20
20,Stephen Welsh,sct SCO,DF,24-073,8,4,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Celtic,21
21,Nicolas-Gerrit Kühn,de GER,FW,24-091,7,4,338.0,3.8,2.0,0.53,1.0,0.27,3.0,0.8,2.0,0.53,0.0,0.0,0.0,0.0,Celtic,22
22,Oh Hyeon-gyu,kr KOR,FW,22-355,20,3,625.0,6.9,5.0,0.72,0.0,0.0,5.0,0.72,5.0,0.72,0.0,0.0,1.0,0.0,Celtic,23
23,Alexandro Bernabei,ar ARG,DF,23-190,8,3,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Celtic,24
24,Nathaniel Phillips,eng ENG,DF,27-011,6,3,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Celtic,25
25,Michael Johnston,ie IRL,FW,24-348,9,3,306.0,3.4,2.0,0.59,0.0,0.0,2.0,0.59,2.0,0.59,0.0,0.0,0.0,0.0,Celtic,26
26,James Forrest,sct SCO,FW,32-269,17,2,368.0,4.1,3.0,0.73,0.0,0.0,3.0,0.73,3.0,0.73,0.0,0.0,0.0,0.0,Celtic,27
27,Odin Thiago Holm,no NOR,MF,21-074,9,2,225.0,2.5,0.0,0.0,1.0,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,28
28,Scott Bain,sct SCO,GK,32-131,2,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,29
29,Daniel Kelly,sct SCO,MF,18-181,4,0,89.0,1.0,1.0,1.01,0.0,0.0,1.0,1.01,1.0,1.01,0.0,0.0,1.0,0.0,Celtic,30
30,Sead Haksabanović,me MNE,"FW,MF",24-333,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,31
31,Marco Tilio,au AUS,MF,22-222,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,32
32,Carl Starfelt,se SWE,DF,28-305,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,33
33,Rocco Vata,ie IRL,MF,18-349,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,34
34,Kwon Hyeokkyu,kr KOR,MF,23-019,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,35
35,Yuki Kobayashi,jp JPN,DF,23-258,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,36
36,Benjamin Siegrist,ch SUI,GK,32-061,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic,37
0,Jack Butland,eng ENG,GK,31-022,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rangers,38
1,James Tavernier,eng ENG,DF,32-153,30,30,2689.0,29.9,15.0,0.5,8.0,0.27,23.0,0.77,5.0,0.17,10.0,13.0,2.0,0.0,Rangers,39
2,Connor Goldson,eng ENG,DF,31-105,27,27,2425.0,26.9,0.0,0.0,1.0,0.04,1.0,0.04,0.0,0.0,0.0,0.0,7.0,0.0,Rangers,40
3,John Lundstram,eng ENG,MF,30-043,28,27,2360.0,26.2,0.0,0.0,3.0,0.11,3.0,0.11,0.0,0.0,0.0,0.0,3.0,0.0,Rangers,41
4,Cyriel Dessers,ng NGA,FW,29-115,27,20,1663.0,18.5,13.0,0.7,2.0,0.11,15.0,0.81,13.0,0.7,0.0,0.0,0.0,0.0,Rangers,42
5,John Souttar,sct SCO,DF,27-189,22,18,1761.0,19.6,1.0,0.05,1.0,0.05,2.0,0.1,1.0,0.05,0.0,0.0,2.0,0.0,Rangers,43
6,Todd Cantwell,eng ENG,MF,26-034,23,18,1436.0,16.0,5.0,0.31,4.0,0.25,9.0,0.56,5.0,0.31,0.0,0.0,5.0,0.0,Rangers,44
7,Rıdvan Yılmaz,tr TUR,DF,22-316,22,15,1480.0,16.4,1.0,0.06,1.0,0.06,2.0,0.12,1.0,0.06,0.0,0.0,1.0,0.0,Rangers,45
8,Abdallah Sima,sn SEN,"MF,FW",22-289,21,15,1390.0,15.4,10.0,0.65,2.0,0.13,12.0,0.78,10.0,0.65,0.0,0.0,0.0,0.0,Rangers,46
9,Borna Barišić,hr CRO,DF,31-143,16,14,1114.0,12.4,0.0,0.0,3.0,0.24,3.0,0.24,0.0,0.0,0.0,0.0,3.0,0.0,Rangers,47
10,Ross McCausland,nir NIR,"MF,FW",20-325,23,13,1239.0,13.8,1.0,0.07,2.0,0.15,3.0,0.22,1.0,0.07,0.0,0.0,0.0,0.0,Rangers,48
11,Leon Balogun,ng NGA,DF,35-278,11,11,901.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Rangers,49
12,Nicolas Raskin,be BEL,MF,23-038,14,11,860.0,9.6,1.0,0.1,1.0,0.1,2.0,0.21,1.0,0.1,0.0,0.0,2.0,0.0,Rangers,50
13,Sam Lammers,nl NED,"MF,FW",26-337,17,10,844.0,9.4,2.0,0.21,2.0,0.21,4.0,0.43,2.0,0.21,0.0,0.0,1.0,0.0,Rangers,51
14,Tom Lawrence,wls WAL,MF,30-079,17,9,895.0,9.9,1.0,0.1,3.0,0.3,4.0,0.4,1.0,0.1,0.0,0.0,1.0,0.0,Rangers,52
15,Rabbi Matondo,wls WAL,"MF,FW",23-205,16,7,534.0,5.9,4.0,0.67,3.0,0.51,7.0,1.18,4.0,0.67,0.0,0.0,1.0,0.0,Rangers,53
16,Dujon Sterling,eng ENG,"MF,DF",24-160,17,6,792.0,8.8,0.0,0.0,1.0,0.11,1.0,0.11,0.0,0.0,0.0,0.0,3.0,1.0,Rangers,54
17,Scott Wright,sct SCO,MF,26-237,18,6,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Rangers,55
18,José Cifuentes,ec ECU,MF,25-020,9,6,559.0,6.2,0.0,0.0,1.0,0.16,1.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,Rangers,56
19,Danilo,br BRA,FW,24-360,12,5,533.0,5.9,4.0,0.68,1.0,0.17,5.0,0.84,4.0,0.68,0.0,0.0,0.0,0.0,Rangers,57
